sku,price,special_price
3MA-051111-49614,7.7947,7.7947
3MA-051111-49615,7.2093,7.2093
3MA-051111-49616,7.2093,7.2093
3MA-051111-49617,7.6373,7.6373
3MA-051111-50410,1.98,1.98
3MA-051111-50412,1.8987,1.8987
3MA-051111-50413,1.812,1.812
3MA-051111-50415,1.736,1.736
3MA-051111-50426,2.6573,2.6573
3MA-051111-50427,2.36,2.36
3MA-051111-50440,5.3307,5.3307
3MA-051111-50442,5.5253,5.5253
3MA-051111-50443,5.5253,5.5253
3MA-051111-50445,8.9613,8.9613
3MA-051111-50446,9.1467,9.1467
3MA-051111-50447,9.1467,9.1467
3MA-051111-50448,7.62,7.62
3MA-051111-50467,7.0747,7.0747
3MA-051111-50468,6.72,6.72
3MA-051111-50469,6.32,6.32
3MA-051111-50470,6.72,6.72
3MA-051111-50471,6.236,6.236
3MA-051111-50473,13.5467,13.5467
3MA-051111-50474,12.44,12.44
3MA-051111-50475,13.5467,13.5467
3MA-051111-50769,9.26,9.26
3MA-051111-50772,9.26,9.26
3MA-051111-50773,9.27,9.27
3MA-051111-51161,5.37,5.37
3MA-051111-51164,6.12,6.12
3MA-051111-55740,2.6747,2.6747
3MA-051111-55743,3.3947,3.3947
3MA-051111-55753,1.8213,1.8213
3MA-051111-55755,1.756,1.756
3MA-051111-55756,1.6573,1.6573
3MA-051111-61187,7.5573,7.5573
3MA-051111-61188,7.5573,7.5573
3MA-051111-61189,7.5573,7.5573
3MA-051111-61190,8.004,8.004
3MA-051111-66900,5.3773,5.3773
3MA-051111-66902,4.1507,4.1507
3MA-051115-00631,1.2227,1.2227
3MA-051115-19788,21.5107,21.5107
3MA-051115-19790,21.5107,21.5107
3MA-051131-01396,1.5049,1.5049
3MA-051131-01408,2.1587,2.1587
3MA-051131-01546,1.344,1.344
3MA-051131-01548,1.8547,1.8547
3MA-051131-01985,5.0341,5.0341
3MA-051131-01986,5.7987,5.7987
3MA-051131-01994,5.8744,5.8744
3MA-051131-02036,1.0347,1.0347
3MA-051131-02606,2.6307,2.6307
3MA-051144-01332,0.6413,0.6413
3MA-051144-01727,1.112,1.112
3MA-051144-01740,1.6573,1.6573
3MA-051144-01818,2.71,2.71
3MA-051144-02000,0.8402,0.8402
3MA-051144-02006,0.9187,0.9187
3MA-051144-02007,0.9427,0.9427
3MA-051144-02135,0.4533,0.4533
3MA-051144-05620,3.9613,3.9613
3MA-051144-05621,3.9613,3.9613
3MA-051144-11000,0.824,0.824
3MA-051144-11102,1.036,1.036
3MA-051144-11103,1.036,1.036
3MA-051144-11104,1.0853,1.0853
3MA-051144-11105,1.0813,1.0813
3MA-051144-11106,0.7893,0.7893
3MA-051144-11109,0.7893,0.7893
3MA-051144-11110,0.752,0.752
3MA-051144-11112,0.908,0.908
3MA-051144-11113,0.9573,0.9573
3MA-051144-11411,0.4347,0.4347
3MA-051144-11412,0.4347,0.4347
3MA-051144-11415,0.4147,0.4147
3MA-051144-11416,0.4147,0.4147
3MA-051144-11417,0.4147,0.4147
3MA-051144-11418,0.8867,0.8867
3MA-051144-11419,0.7093,0.7093
3MA-051144-11420,1.3907,1.3907
3MA-051144-11421,1.4653,1.4653
3MA-051144-11427,0.444,0.444
3MA-051144-13325,15.3867,15.3867
3MA-051144-13873,0.7093,0.7093
3MA-051144-13930,2.688,2.688
3MA-051144-13931,2.8907,2.8907
3MA-051144-13933,2.688,2.688
3MA-051144-13934,2.9267,2.9267
3MA-051144-13936,3.032,3.032
3MA-051144-13937,3.2093,3.2093
3MA-051144-13977,2.3867,2.3867
3MA-051144-14201,19.1213,19.1213
3MA-051144-14202,19.1213,19.1213
3MA-051144-14211,15.3573,15.3573
3MA-051144-14215,18.744,18.744
