sku,price,special_price
3MA-048011-00643,2.7037,2.7037
3MA-048011-07450,2.6476,2.6476
MAK-792428-3,8.676,8.676
UVE-S1904X,6.877,6.877
GYR-94-01715,7.99,7.99
TEST001,10,
